SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,SEASON
22025,201939,0022500696,"Jan 30, 2026",GSW vs. DET,L,25,7,16,0.438,4,10,0.4,5,5,1.0,0,1,1,2,0,1,4,0,23,-5,1,Stephen Curry,2025-26
22025,201939,0022500678,"Jan 28, 2026",GSW @ UTA,W,28,7,14,0.5,4,10,0.4,9,10,0.9,0,1,1,2,2,0,5,1,27,16,1,Stephen Curry,2025-26
22025,201939,0022500644,"Jan 25, 2026",GSW @ MIN,W,28,7,18,0.389,3,10,0.3,9,9,1.0,1,1,2,7,4,0,2,1,26,16,1,Stephen Curry,2025-26
22025,201939,0022500630,"Jan 22, 2026",GSW @ DAL,L,34,14,27,0.519,8,15,0.533,2,2,1.0,0,4,4,1,0,0,2,2,38,-24,1,Stephen Curry,2025-26
22025,201939,0022500618,"Jan 20, 2026",GSW vs. TOR,L,25,6,16,0.375,2,7,0.286,2,3,0.667,0,3,3,3,1,0,1,1,16,-25,1,Stephen Curry,2025-26
22025,201939,0022500612,"Jan 19, 2026",GSW vs. MIA,W,28,6,13,0.462,5,10,0.5,2,2,1.0,0,3,3,11,0,0,3,5,19,3,1,Stephen Curry,2025-26
22025,201939,0022500599,"Jan 17, 2026",GSW vs. CHA,W,30,6,12,0.5,2,8,0.25,0,0,0.0,1,2,3,5,0,0,3,0,14,2,1,Stephen Curry,2025-26
22025,201939,0022500584,"Jan 15, 2026",GSW vs. NYK,W,34,10,17,0.588,4,9,0.444,3,3,1.0,0,3,3,7,1,1,3,1,27,3,1,Stephen Curry,2025-26
22025,201939,0022500570,"Jan 13, 2026",GSW vs. POR,W,25,2,9,0.222,2,8,0.25,1,1,1.0,0,4,4,11,1,0,1,1,7,8,1,Stephen Curry,2025-26
22025,201939,0022500556,"Jan 11, 2026",GSW vs. ATL,L,33,11,21,0.524,3,11,0.273,6,6,1.0,0,3,3,5,0,0,3,2,31,-9,1,Stephen Curry,2025-26
22025,201939,0022500539,"Jan 09, 2026",GSW vs. SAC,W,32,10,21,0.476,6,12,0.5,1,1,1.0,0,0,0,10,1,2,2,0,27,14,1,Stephen Curry,2025-26
22025,201939,0022500526,"Jan 07, 2026",GSW vs. MIL,W,34,12,21,0.571,3,9,0.333,4,5,0.8,0,6,6,7,0,0,1,0,31,16,1,Stephen Curry,2025-26
22025,201939,0022500508,"Jan 05, 2026",GSW @ LAC,L,34,9,23,0.391,4,15,0.267,5,5,1.0,1,3,4,6,3,0,1,6,27,5,1,Stephen Curry,2025-26
22025,201939,0022500492,"Jan 03, 2026",GSW vs. UTA,W,34,8,18,0.444,6,12,0.5,9,9,1.0,0,2,2,5,1,0,2,2,31,5,1,Stephen Curry,2025-26
22025,201939,0022500462,"Dec 31, 2025",GSW @ CHA,W,33,9,16,0.563,5,10,0.5,3,3,1.0,0,2,2,4,0,1,5,4,26,11,1,Stephen Curry,2025-26
22025,201939,0022500449,"Dec 29, 2025",GSW @ BKN,W,29,8,15,0.533,5,12,0.417,6,7,0.857,0,2,2,5,1,0,2,1,27,-6,1,Stephen Curry,2025-26
