TEAM_ID,TEAM_NAME,SEASON,GP,W,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS,L,W_PCT,FG_PCT,FG3_PCT,FT_PCT,PACE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,PF_RANK,PTS_RANK,PLUS_MINUS_RANK,BLKA,PFD,BLKA_RANK,PFD_RANK,TEAM_ABBREVIATION
1610612737,Atlanta Hawks,2023-24,78,35.0,242.2,43.0,92.5,13.8,37.8,18.3,23.1,12.5,32.4,44.9,26.7,13.6,7.4,4.5,18.5,118.0,-1.6,43.0,0.449,0.465,0.364,0.794,102.7,1,21,21,21,4,9,1,21,6,6,17,7,6,9,2,20,6,16,17,17,23,14,5,21,0.0,0.0,1,1,ATL
1610612737,Atlanta Hawks,2024-25,81,40.0,241.2,43.5,91.8,13.5,37.6,18.0,23.3,11.9,32.6,44.6,29.7,14.7,9.7,5.1,19.1,118.5,-1.1,41.0,0.494,0.473,0.36,0.774,104.3,24,16,15,16,14,6,5,14,14,15,18,3,1,19,9,23,14,2,24,2,11,22,5,18,0.0,0.0,1,1,ATL
1610612737,Atlanta Hawks,2025-26,59,28.0,240.8,43.0,91.6,14.4,39.0,16.5,21.3,10.3,32.3,42.6,30.3,13.5,9.2,4.7,19.8,116.9,-1.4,31.0,0.475,0.47,0.37,0.774,103.8,1,17,19,18,27,5,2,14,9,10,6,26,26,20,22,18,24,1,10,5,17,12,10,19,0.0,0.0,1,1,ATL
1610612738,Boston Celtics,2023-24,77,61.0,241.9,44.1,90.2,16.6,42.4,16.4,20.2,10.7,35.6,46.3,26.9,11.8,6.8,6.6,16.2,121.1,11.9,16.0,0.792,0.489,0.391,0.811,99.4,23,1,1,1,7,3,8,7,1,1,1,18,25,6,13,1,2,14,1,26,2,2,2,1,0.0,0.0,1,1,BOS
1610612738,Boston Celtics,2024-25,82,61.0,241.8,41.6,90.0,17.8,48.2,15.3,19.1,11.4,33.9,45.3,26.1,11.4,7.2,5.5,15.9,116.3,9.1,21.0,0.744,0.462,0.368,0.799,97.7,2,3,3,3,6,15,11,19,1,1,9,30,30,6,10,7,8,16,2,28,5,2,8,3,0.0,0.0,1,1,BOS
1610612738,Boston Celtics,2025-26,56,37.0,240.9,42.7,91.3,15.4,42.3,14.5,18.3,12.7,32.9,45.7,24.2,11.4,7.6,5.3,19.6,115.3,7.2,19.0,0.661,0.468,0.364,0.792,97.6,20,4,4,4,19,9,3,17,3,3,10,29,30,9,6,11,7,29,1,25,8,11,18,3,0.0,0.0,1,1,BOS
1610612739,Cleveland Cavaliers,2023-24,78,45.0,241.3,41.6,87.1,13.7,37.3,15.5,20.3,9.9,33.3,43.1,28.1,13.5,7.3,4.5,17.5,112.3,2.2,33.0,0.577,0.477,0.368,0.762,99.2,1,9,11,11,16,20,24,12,7,8,13,25,22,25,21,13,17,8,16,19,23,5,22,13,0.0,0.0,1,1,CLE
1610612739,Cleveland Cavaliers,2024-25,82,64.0,240.9,44.5,90.8,15.9,41.5,17.0,21.9,11.2,34.2,45.4,28.1,12.5,8.2,4.3,18.1,121.9,9.5,18.0,0.78,0.491,0.383,0.776,101.4,2,2,2,2,18,3,7,2,2,4,2,14,15,17,12,5,6,9,5,13,26,11,1,2,0.0,0.0,1,1,CLE
1610612739,Cleveland Cavaliers,2025-26,58,36.0,240.9,43.6,91.2,14.6,40.6,18.0,23.0,12.1,32.6,44.7,28.5,13.8,9.0,5.1,19.9,119.7,4.3,22.0,0.621,0.478,0.359,0.783,102.7,2,6,7,6,19,1,4,9,6,5,14,19,20,16,9,13,12,8,12,8,11,14,3,9,0.0,0.0,1,1,CLE
1610612740,New Orleans Pelicans,2023-24,76,45.0,240.3,42.5,87.3,12.6,32.9,17.6,22.7,10.4,33.6,44.0,27.0,12.9,8.3,4.5,18.2,115.2,4.8,31.0,0.592,0.487,0.383,0.776,99.7,27,9,8,9,26,12,23,8,18,23,4,12,8,17,15,10,12,13,9,3,23,9,13,6,0.0,0.0,1,1,NOP
